# Generated by local stop-line/heading/controller matching; converter refers links are ignored.
vtd_id,autoware_group_id,signal_type,signal_subtype
574,463699,1000008,-1
575,463701,1000020,-1
576,463701,1000008,-1
577,463699,1000012,10
578,463701,1000012,-1
579,463765,1000020,-1
579,463767,1000020,-1
579,463769,1000020,-1
580,463765,1000008,-1
580,463767,1000008,-1
580,463769,1000008,-1
581,463771,1000020,-1
582,463771,1000008,-1
583,463765,1000012,10
583,463767,1000012,10
583,463769,1000012,10
584,463771,1000012,-1
587,463793,1000020,-1
587,463795,1000020,-1
587,463797,1000020,-1
587,463799,1000020,-1
587,463801,1000020,-1
588,463793,1000008,-1
588,463795,1000008,-1
588,463797,1000008,-1
588,463799,1000008,-1
588,463801,1000008,-1
590,463793,1000012,-1
590,463795,1000012,-1
590,463797,1000012,-1
590,463799,1000012,-1
590,463801,1000012,-1
591,463773,1000020,-1
591,463775,1000020,-1
591,463777,1000020,-1
591,463779,1000020,-1
592,463773,1000008,-1
592,463775,1000008,-1
592,463777,1000008,-1
592,463779,1000008,-1
595,463773,1000012,10
595,463775,1000012,10
595,463777,1000012,10
595,463779,1000012,10
597,463661,1000020,-1
597,463663,1000020,-1
597,463665,1000020,-1
597,463667,1000020,-1
597,463669,1000020,-1
598,463661,1000008,-1
598,463663,1000008,-1
598,463665,1000008,-1
598,463667,1000008,-1
598,463669,1000008,-1
601,463661,1000012,10
601,463663,1000012,10
601,463665,1000012,10
601,463667,1000012,10
601,463669,1000012,10
603,463671,1000020,-1
603,463673,1000020,-1
603,463675,1000020,-1
603,463677,1000020,-1
603,463679,1000020,-1
604,463671,1000008,-1
604,463673,1000008,-1
604,463675,1000008,-1
604,463677,1000008,-1
604,463679,1000008,-1
605,463671,1000012,-1
605,463673,1000012,-1
605,463675,1000012,-1
605,463677,1000012,-1
605,463679,1000012,-1
606,463631,1000020,-1
607,463631,1000008,-1
610,463631,1000012,10
612,463455,1000020,-1
612,463457,1000020,-1
612,463459,1000020,-1
612,463461,1000020,-1
613,463455,1000008,-1
613,463457,1000008,-1
613,463459,1000008,-1
613,463461,1000008,-1
614,463463,1000020,-1
615,463463,1000008,-1
616,463455,1000012,10
616,463457,1000012,10
616,463459,1000012,10
616,463461,1000012,10
617,463463,1000012,-1
618,463639,1000020,-1
619,463639,1000008,-1
622,463639,1000012,10
624,463647,1000020,-1
625,463647,1000008,-1
628,463647,1000012,10
630,463555,1000020,-1
631,463555,1000008,-1
634,463555,1000012,10
636,463627,1000020,-1
637,463627,1000008,-1
638,463629,1000020,-1
639,463629,1000008,-1
640,463627,1000012,10
641,463629,1000012,-1
657,463685,1000020,-1
657,463687,1000020,-1
658,463685,1000008,-1
658,463687,1000008,-1
659,463685,1000012,-1
659,463687,1000012,-1
660,463635,1000020,-1
